model,condition,turn,ECE
claude,A,1,0.352
claude,B,1,0.352
claude,B,2,0.11466666666666672
claude,B,3,0.344
claude,B,4,0.07600000000000007
claude,B,5,0.32000000000000006
claude,C,1,0.292
claude,C,2,0.05466666666666664
claude,C,3,0.05866666666666668
claude,C,4,0.0946666666666667
claude,C,5,0.11199999999999999
gemini,A,1,0.33133333333333337
gemini,B,1,0.33133333333333337
gemini,B,2,0.19933333333333325
gemini,B,3,0.3320000000000001
gemini,B,4,0.06599999999999995
gemini,B,5,0.33266666666666667
gemini,C,1,0.32666666666666666
gemini,C,2,0.004666666666666708
gemini,C,3,0.006000000000000005
gemini,C,4,0.006000000000000005
gemini,C,5,0.004666666666666708
gpt52,A,1,0.3553333333333335
gpt52,B,1,0.3553333333333335
gpt52,B,2,0.19599999999999992
gpt52,B,3,0.4839999999999999
gpt52,B,4,0.05866666666666663
gpt52,B,5,0.6293333333333333
gpt52,C,1,0.3539999999999999
gpt52,C,2,0.1233333333333334
gpt52,C,3,0.07733333333333343
gpt52,C,4,0.08400000000000007
gpt52,C,5,0.14399999999999996
